comparison,time_scale,data_source,log_like,iteration
gen_annual_bio_annual,annual,simulation,-42013.7057104141,45
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12657.3626288161,45
gen_monsoonal_bio_total,monsoonal,simulation,-28714.0325747543,45
gen_total_bio_total,total_years,simulation_subsample,-11321.3672706952,45
gen_annual_bio_annual,annual,simulation_subsample,-5538.91225009777,45
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1462.06747544367,45
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7608.48040486403,45
gen_total_bio_total,total_years,simulation,-42430.5146457968,46
gen_annual_bio_annual,annual,simulation,-40434.1294413195,46
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13090.8156254792,46
gen_monsoonal_bio_total,monsoonal,simulation,-29196.4541867084,46
gen_total_bio_total,total_years,simulation_subsample,-8376.05357962247,46
gen_annual_bio_annual,annual,simulation_subsample,-5345.96453361183,46
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1067.76309966634,46
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-5789.98129580632,46
gen_total_bio_total,total_years,simulation,-50399.8167201736,47
gen_annual_bio_annual,annual,simulation,-43282.3907480736,47
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13926.0354053255,47
gen_monsoonal_bio_total,monsoonal,simulation,-33263.3765363877,47
gen_total_bio_total,total_years,simulation_subsample,-7944.00548814535,47
gen_annual_bio_annual,annual,simulation_subsample,-4214.90463211929,47
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-810.171273593428,47
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-5162.58683380309,47
gen_total_bio_total,total_years,simulation,-52739.9391897477,48
gen_annual_bio_annual,annual,simulation,-42679.2581566644,48
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13809.3302168794,48
gen_monsoonal_bio_total,monsoonal,simulation,-33075.1010090869,48
gen_total_bio_total,total_years,simulation_subsample,-12451.5576048647,48
gen_annual_bio_annual,annual,simulation_subsample,-5313.54793508204,48
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1437.92382707039,48
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7761.76065161359,48
gen_total_bio_total,total_years,simulation,-46363.5074845998,49
gen_annual_bio_annual,annual,simulation,-39839.2016514935,49
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12396.9598094238,49
gen_monsoonal_bio_total,monsoonal,simulation,-30460.6095046746,49
gen_total_bio_total,total_years,simulation_subsample,-12373.1435738255,49
gen_annual_bio_annual,annual,simulation_subsample,-6267.20407261872,49
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1408.50116339585,49
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8060.41820658188,49
